id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6717204,Freistehendes Ferienhaus auf Finca,35172100,Thomas,,Artà,39.670181577279166,3.3797112194498373,Entire home/apt,59,3,15,2016-11-10,0.74,1,207
5045494,Can Femenias - Cottage with private pool in Artà,3625030,Angela,,Artà,39.71889661713509,3.3424860877792963,Entire home/apt,147,7,3,2017-02-03,0.14,752,84
12790292,"Modern, beachfront holiday home",35536044,Kerstin,,Artà,39.730671942721294,3.274014081660375,Entire home/apt,95,1,0,,,5,273
1071429,Modern house 200m from the beach,5858806,Juan,,Artà,39.73695149564741,3.2779970307794524,Entire home/apt,121,5,2,2016-09-30,0.25,42,302
7076046,CASA  DANITA,37102301,Gabriel,,Artà,39.738981964705,3.278570412331554,Entire home/apt,90,7,1,2016-07-12,0.12,1,364
13792664,MONFERRUTX,43337979,Top Villas Mallorca,,Artà,39.73427167866739,3.274613802074941,Entire home/apt,113,7,0,,,224,284
11861177,Casa espaciosa nueva 2 pisos jardín,63223971,Montserrat,,Artà,39.738407560007076,3.2778972700231046,Entire home/apt,140,20,0,,,1,338
2325719,Casa de campo en Artá,11831943,Antonia,,Artà,39.67296029403382,3.327549274106028,Entire home/apt,210,3,0,,,3,249
3044840,Sehr schönes Stadthaus in Artà I,14268100,Natascha,,Artà,39.69552512756973,3.3540099716030443,Entire home/apt,70,2,28,2016-09-16,0.83,2,320
1375496,"Stone Duplex with garden,  balcony",6007224,Miquel Àngel,,Artà,39.73697185542139,3.2827687915259824,Entire home/apt,80,7,3,2015-08-03,0.10,2,67
556299,Habitación Sol,1968644,Antonia,,Artà,39.6924052998851,3.3516604035881863,Private room,50,2,41,2016-08-29,0.73,3,352
5733778,Appartement vue sur mer et montagne,10503278,Pierre,,Artà,39.752913907504386,3.3162845022390335,Entire home/apt,60,5,3,2016-08-27,0.31,1,301
16378866,Paseo Del Mar,107259109,Miguel - Interhome,,Artà,39.73953664467724,3.278382155615002,Entire home/apt,114,3,0,,,20,210
15559499,Apartamento Es Tresor del Agroturismo S´Arboçar,99613016,Mallorca Privilege,,Artà,39.649253475207686,3.3004058083130765,Entire home/apt,175,4,0,,,16,138
3665206,Casa Buddha direkt am Meer einTraum,5487968,Jürgen,,Artà,39.732996612158544,3.259058592787055,Entire home/apt,239,5,3,2015-09-04,0.10,3,204
2517170,casa+piscina a 50m mar /ARTA,5964341,Marta,,Artà,39.756534601873234,3.3173155191962374,Entire home/apt,110,4,10,2016-10-09,0.28,2,136
13860448,PENTHHOUSE AT CENTER. GREAT TERRACE. CASTLE VIEWS.,9001423,Joan,,Artà,39.69267942426628,3.3499872108602498,Entire home/apt,75,6,2,2016-08-29,0.29,6,336
10117379,Aussergewöhnliches Dorfhaus in Artá,36529970,Jutta,,Artà,39.69394405706214,3.352610384353621,Entire home/apt,140,7,0,,,2,238
10347458,"Modern building, nice pool in Artà",7572808,Michael,,Artà,39.685427877219986,3.3223981202857726,Entire home/apt,275,7,0,,,52,200
12968894,"Es Mirador, Finca con piscina.",14790157,Vero,,Artà,39.66600928838435,3.343591500927661,Entire home/apt,363,1,0,,,11,365
15982403,Stunning villa with big pool in Natural Park,103841030,Ray,,Artà,39.724142467541405,3.3599612608961404,Entire home/apt,200,4,0,,,1,342
13728292,Duplex de lujo en Artá con Jacuzzi y garaje,80285280,Esperança,,Artà,39.69332489038235,3.349284566785378,Entire home/apt,150,5,5,2016-09-23,0.64,1,267
15555722,Apartamento Balafi del Agroturismo S´Arboçar,99613016,Mallorca Privilege,,Artà,39.64959944530391,3.3003063008623292,Entire home/apt,124,4,0,,,16,169
13860815,PENTHHOUSE AT CENTER. GREAT TERRACE. CASTLE VIEWS.,9001423,Joan,,Artà,39.69359429598933,3.3505385393609366,Entire home/apt,75,6,2,2016-09-24,0.32,6,346
8978393,Finca con vistas preciosas,44905589,Barbara,,Artà,39.72995321421785,3.280225419690681,Entire home/apt,240,7,0,,,3,344
10795503,Large room with private bathroom,55870406,Encarnación,,Artà,39.73444620416315,3.2755569185433053,Private room,55,2,22,2016-11-06,2.11,3,164
1170700,NICE HOUSE WITH SEAVIEW AND POOL,6344828,Jorge,,Artà,39.735642819574416,3.27279362893966,Entire home/apt,140,2,44,2017-02-13,0.97,2,256
11655989,Sunny apartment on finca with pool,53575217,Thomas,,Artà,39.68629349465732,3.325251988996694,Entire home/apt,95,5,2,2016-09-19,0.25,3,259
286091,"House in Mallorca, mountain and sea",675608,Miquel,,Artà,39.69404993096384,3.3517798723990815,Entire home/apt,60,4,45,2016-10-17,0.78,1,328
17456577,Finca Can Canti,118189713,Inge,,Artà,39.68598275081348,3.314191387748773,Private room,120,1,0,,,1,172
1105387,Villa front the beach with garden,3664725,Lina,,Artà,39.73410115595465,3.25950322481107,Entire home/apt,85,7,19,2017-01-03,0.47,5,217
1726999,ACOGEDORA CASA DE PUEBLO SITA EN EL CENTRO DE ARTA,6806630,Fam Vicens,,Artà,39.6925518180475,3.3495914327705423,Entire home/apt,140,7,0,,,2,226
8509957,M2F1090 Finca mit Pool bei Arta; max. 6 Pers.,44724482,Mathias,,Artà,39.677339732317705,3.3355519229735884,Entire home/apt,192,5,0,,,79,270
2316777,Comfortable casa de campo en Artà,11831943,Antonia,,Artà,39.67332998993228,3.3274800124370643,Entire home/apt,210,3,0,,,3,249
11393373,Cozy House in Arta,59715141,Colau,,Artà,39.697863281595886,3.3469160746771722,Entire home/apt,90,4,32,2017-03-10,2.73,1,239
15654502,Sa Corbaia - charming cottage for 6 guests in Artà,3625030,Angela,,Artà,39.67912521267048,3.3537104545994842,Entire home/apt,108,7,0,,,752,304
6606672,Finca Buena Vista,34568634,Renate,,Artà,39.73465297928018,3.284138026194637,Entire home/apt,390,5,0,,,1,365
15490753,Luxury Finca with stunning views,99214863,Olivia,,Artà,39.706188645757436,3.3365509573351053,Entire home/apt,244,7,0,,,1,224
2644237,Villa in front of the sea,12124644,María,,Artà,39.73753605396374,3.277825307954283,Entire home/apt,110,4,18,2016-09-27,0.56,3,143
6840005,BONITA CASA DE CAMPO CON PISCINA,24404232,Mpc,,Artà,39.68756979971058,3.3316246502586138,Entire home/apt,250,5,0,,,19,315
11655332,Romantic light-flooded Finca with pool,53575217,Thomas,,Artà,39.689327193443894,3.317296144740783,Entire home/apt,140,5,2,2016-10-11,0.24,3,263
4151382,"Artamezzo, moderna casa en el campo",21537421,Cati,,Artà,39.694408208583106,3.350695881855589,Entire home/apt,170,4,2,2016-09-08,0.29,1,47
15261598,MONTFERRUT,3625030,Angela,,Artà,39.734245858120104,3.2725807341178244,Entire home/apt,129,7,0,,,752,160
16998304,Stunning Seafront Apartment 2 Bedrooms/Garden,29256818,Wolf,,Artà,39.75507370538185,3.3135516090518373,Entire home/apt,99,7,0,,,1,308
15175288,Kashmir: Genießen Sie die wunderschöne Fincaoase!,65697804,Ideal Property Mallorca,,Artà,39.68142075572659,3.366810878486347,Entire home/apt,65,7,0,,,84,44
12998324,Rural finca with pool and wi-fi,35536044,Kerstin,,Artà,39.69793355955733,3.3355417410631745,Entire home/apt,110,5,0,,,5,159
13438984,CASA DANITA,73491124,Gabriel,,Artà,39.73910130405942,3.2783758171648856,Entire home/apt,100,7,0,,,1,296
385097,"Betlem, Majorca: Paradisiac place",1927742,Nur,,Artà,39.75250885457139,3.3156519142534657,Entire home/apt,45,5,15,2016-09-04,0.25,2,274
14767334,"Finca en el campo ""sa font""",4165985,Maria Magdalena,,Artà,39.687828056539786,3.335689987508477,Entire home/apt,100,2,0,,,1,299
3331198,Villa relax with beautifull seaviws,12605352,Pepe,,Artà,39.736678460659,3.28918790880896,Entire home/apt,185,5,9,2016-09-30,0.28,30,301
3822658,COLONIA DE SANT PERE ,5131409,Concepción,,Artà,39.72944601419107,3.2755487677725355,Entire home/apt,157,5,0,,,1,0
14835900,apt avec vue mer exceptionnelle,71106267,Guy,,Artà,39.75475526628857,3.3173236953634304,Entire home/apt,107,7,0,,,2,316
12965793,Finca con Piscina. Ideal familias,14790157,Vero,,Artà,39.66970760681249,3.3393242009235595,Entire home/apt,363,3,0,,,11,344
11145248,Casa en la costa,43599587,Xavi,,Artà,39.7374552430338,3.2764454415300293,Entire home/apt,79,2,5,2016-10-20,0.73,1,304
5560101,Modern villa in Artà,7572808,Michael,,Artà,39.68738390022724,3.3289427418004554,Entire home/apt,165,7,3,2016-07-10,0.16,52,225
12280161,Hübsches Stadthaus im Zentrum,32410005,Peter,,Artà,39.692432089532545,3.3488840849215618,Entire home/apt,105,5,0,,,3,365
6382186,"Colonia de Sant Pere, Bahia Alcudia",21127891,B-Apartment,,Artà,39.73377726833053,3.2727735041540824,Entire home/apt,400,7,0,,,16,338
1084750,Casa+jardin a 200m mar/ARTA,5964341,Marta,,Artà,39.753679527060896,3.319562039910769,Entire home/apt,95,5,4,2015-08-09,0.11,2,291
709122,"Old finca in MALLORCA, NEAR GOLFS",3648423,Ariane,,Artà,39.70828902337097,3.317746077398609,Entire home/apt,150,2,2,2016-08-21,0.10,1,331
5951980,R.137 Beautiful house 100m from the beach,5558099,Anna&Marga,,Artà,39.73659804479624,3.2786880562118244,Entire home/apt,112,5,2,2016-09-27,0.27,129,255
2707267,"FeWo Bucht von Alcudia 1, 7 Pers.",13854562,Uwe,,Artà,39.73283777541568,3.2745466750846997,Entire home/apt,104,5,2,2016-08-20,0.10,5,363
13749834,Energía Positiva,66910673,Carlos,,Artà,39.69435531001853,3.35050446336589,Private room,70,2,2,2016-09-30,0.26,6,282
2963376,Apartamento en Betlem,15123104,Sebastian,,Artà,39.75231593182863,3.3141710985872397,Entire home/apt,50,2,43,2017-03-07,1.32,1,290
3690032,SIURELL - 0346,3625030,Angela,,Artà,39.73790131752952,3.277532040304298,Entire home/apt,81,7,0,,,752,290
1729547,RENT A HOUSE IN ARTA,6806630,Fam Vicens,,Artà,39.69262335492872,3.351213986209425,Entire home/apt,140,7,0,,,2,226
12969026,"SON TORD, Ideal Familias. Piscina",14790157,Vero,,Artà,39.66460519828839,3.3425144220920564,Entire home/apt,363,3,0,,,11,364
